                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.46744,                0.35974,                0.79462,                0.99913,                0.99891,                  0.995,                0.94051,                0.34583,                0.20148,                0.77379,              0.0056275,              0.0056275,              0.0056275
                     55,                0.46706,                0.35565,                0.79417,                0.99918,                0.99906,                  0.995,                 0.9405,                 0.3455,                0.20101,                0.77375,               0.005545,               0.005545,               0.005545
                     56,                0.46313,                0.35377,                0.79351,                0.99902,                0.99902,                0.99497,                0.94137,                0.34316,                0.20026,                 0.7735,              0.0054625,              0.0054625,              0.0054625
                     57,                0.46481,                0.35451,                0.79386,                0.99905,                0.99902,                0.99499,                0.94176,                0.34153,                0.19945,                0.77329,                0.00538,                0.00538,                0.00538
                     58,                0.46203,                0.35167,                 0.7937,                0.99909,                0.99903,                0.99498,                 0.9421,                0.34042,                0.19892,                0.77316,              0.0052975,              0.0052975,              0.0052975
                     59,                0.45926,                0.34953,                 0.7932,                0.99915,                0.99901,                0.99497,                0.94251,                0.34043,                0.19849,                0.77306,               0.005215,               0.005215,               0.005215
                     60,                 0.4584,                0.34798,                0.79289,                0.99921,                0.99912,                0.99497,                0.94304,                0.33998,                0.19805,                0.77295,              0.0051325,              0.0051325,              0.0051325
                     61,                0.45782,                0.34547,                0.79401,                0.99913,                0.99909,                0.99497,                0.94261,                0.34006,                0.19762,                0.77289,                0.00505,                0.00505,                0.00505
                     62,                0.45479,                0.34681,                0.79274,                0.99912,                0.99915,                0.99497,                0.94258,                0.34011,                0.19734,                0.77286,              0.0049675,              0.0049675,              0.0049675
                     63,                0.45595,                0.34503,                0.79183,                 0.9992,                0.99912,                0.99498,                0.94286,                0.33945,                0.19675,                0.77278,               0.004885,               0.004885,               0.004885
                     64,                0.45051,                0.34105,                0.79159,                0.99919,                0.99914,                0.99499,                0.94304,                0.33918,                 0.1966,                0.77273,              0.0048025,              0.0048025,              0.0048025
                     65,                0.45016,                0.33986,                  0.792,                0.99919,                0.99913,                0.99499,                0.94354,                0.33773,                0.19589,                 0.7726,                0.00472,                0.00472,                0.00472
                     66,                0.45031,                0.34074,                0.79183,                0.99921,                0.99909,                0.99499,                0.94376,                 0.3369,                0.19551,                0.77251,              0.0046375,              0.0046375,              0.0046375
                     67,                0.45021,                0.33988,                 0.7926,                 0.9992,                0.99909,                0.99499,                0.94399,                0.33669,                0.19516,                0.77247,               0.004555,               0.004555,               0.004555
                     68,                0.44641,                0.33447,                0.79249,                0.99918,                0.99908,                0.99499,                0.94422,                0.33623,                0.19503,                 0.7724,              0.0044725,              0.0044725,              0.0044725
                     69,                0.44504,                0.33528,                0.79086,                0.99919,                0.99909,                0.99499,                0.94405,                0.33563,                0.19474,                0.77235,                0.00439,                0.00439,                0.00439
                     70,                0.44142,                0.32896,                0.79133,                0.99919,                0.99907,                0.99499,                0.94426,                 0.3353,                0.19422,                0.77233,              0.0043075,              0.0043075,              0.0043075
                     71,                0.44319,                0.33161,                0.79198,                0.99924,                 0.9991,                0.99499,                 0.9446,                0.33442,                0.19383,                0.77225,               0.004225,               0.004225,               0.004225
                     72,                 0.4402,                0.32992,                0.79084,                0.99923,                 0.9991,                0.99499,                0.94474,                0.33416,                0.19342,                 0.7722,              0.0041425,              0.0041425,              0.0041425
                     73,                0.44155,                0.32679,                0.79131,                0.99925,                0.99907,                0.99499,                 0.9449,                 0.3338,                0.19344,                0.77216,                0.00406,                0.00406,                0.00406
                     74,                0.43773,                0.32483,                0.79117,                0.99925,                0.99905,                0.99499,                0.94513,                0.33375,                0.19311,                0.77211,              0.0039775,              0.0039775,              0.0039775
                     75,                0.43812,                0.32671,                0.79173,                0.99927,                0.99904,                0.99499,                0.94503,                0.33306,                0.19304,                0.77204,               0.003895,               0.003895,               0.003895
                     76,                 0.4362,                0.31956,                0.79143,                0.99926,                0.99904,                0.99499,                0.94511,                 0.3332,                0.19283,                0.77202,              0.0038125,              0.0038125,              0.0038125
                     77,                0.43344,                0.32137,                0.79066,                0.99928,                0.99905,                  0.995,                0.94549,                0.33268,                0.19277,                0.77194,                0.00373,                0.00373,                0.00373
                     78,                  0.432,                0.31894,                0.79096,                0.99928,                0.99907,                  0.995,                0.94579,                0.33231,                0.19235,                0.77191,              0.0036475,              0.0036475,              0.0036475
                     79,                0.43157,                0.32098,                0.79049,                0.99929,                0.99907,                0.99499,                0.94585,                0.33171,                0.19198,                0.77187,               0.003565,               0.003565,               0.003565
                     80,                0.43128,                0.31508,                0.79102,                0.99929,                0.99907,                  0.995,                0.94597,                0.33124,                0.19179,                0.77182,              0.0034825,              0.0034825,              0.0034825
                     81,                0.42776,                 0.3149,                0.78964,                 0.9993,                0.99907,                  0.995,                0.94584,                0.33108,                 0.1917,                0.77179,                 0.0034,                 0.0034,                 0.0034
                     82,                0.42851,                0.31425,                0.79057,                0.99931,                0.99908,                  0.995,                0.94614,                0.33063,                0.19139,                0.77172,              0.0033175,              0.0033175,              0.0033175
                     83,                0.42641,                 0.3126,                0.78972,                0.99931,                0.99907,                  0.995,                0.94628,                0.33008,                0.19132,                0.77169,               0.003235,               0.003235,               0.003235
                     84,                0.42682,                0.31167,                0.78981,                0.99932,                0.99908,                  0.995,                0.94627,                0.32975,                0.19108,                0.77166,              0.0031525,              0.0031525,              0.0031525
                     85,                0.42385,                0.30811,                0.78968,                0.99932,                0.99909,                  0.995,                0.94664,                 0.3294,                0.19095,                 0.7716,                0.00307,                0.00307,                0.00307
                     86,                0.42123,                0.30613,                0.78944,                0.99932,                 0.9991,                  0.995,                 0.9466,                 0.3287,                0.19063,                0.77153,              0.0029875,              0.0029875,              0.0029875
                     87,                 0.4209,                0.30674,                0.78978,                0.99932,                 0.9991,                  0.995,                0.94662,                0.32845,                0.19046,                 0.7715,               0.002905,               0.002905,               0.002905
